"Year","rains","mes","temps","Date"
2020,1.54123656106462,"10",12.5156706893136,"2020-10-01"
2013,2.98648610487968,"11",7.11739304834822,"2013-11-01"
2014,4.52107435832105,"11",7.53722307642904,"2014-11-01"
2015,6.25553332093017,"11",6.59753471624313,"2015-11-01"
2016,7.55488611034881,"11",10.1312625040611,"2016-11-01"
2017,7.57302666164159,"11",8.04242998192708,"2017-11-01"
2018,3.40828332685283,"11",8.14625497142474,"2018-11-01"
2019,0.94172499490669,"11",7.21139444449477,"2019-11-01"
2020,6.33235554774615,"11",6.74837638739134,"2020-11-01"
2013,1.55277150704166,"12",1.49456048223956,"2013-12-01"
2014,6.89495535999584,"12",6.40525931446459,"2014-12-01"
2015,15.3942661335822,"12",5.63500134865453,"2015-12-01"
2016,5.44157795716291,"12",2.28687634330458,"2016-12-01"
2017,3.57906773556099,"12",3.94260162345111,"2017-12-01"
2018,6.65517417091065,"12",5.55751130229703,"2018-12-01"
2019,4.95367203836682,"12",4.96257257974652,"2019-12-01"
2020,6.18316397690859,"12",5.59338037093121,"2020-12-01"
